"Date","Chrome","Yandex Browser","Opera","Edge","Firefox","Safari","IE","Amigo","Edge Legacy","360 Safe Browser","Mozilla","Pale Moon","Maxthon","UC Browser","Other"
2024-02,43.35,28.84,11.51,7.08,5.72,2.91,0.4,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.06
2024-03,44.41,28.25,11.41,6.63,5.46,3.28,0.36,0.01,0.05,0.02,0.01,0.03,0.01,0.01,0.05
2024-04,43.12,28.78,11.61,7.6,5.51,2.81,0.38,0.01,0.06,0.01,0.01,0.01,0.02,0.01,0.05
2024-05,42.55,29.21,10.9,8.56,5.64,2.68,0.31,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.05
2024-06,42.56,29.67,11.51,7.17,5.91,2.74,0.24,0.02,0.05,0.02,0.01,0.02,0.02,0.01,0.05
2024-07,43.57,28.81,10.17,7.74,6.29,2.89,0.3,0.02,0.06,0.02,0.01,0.02,0.01,0.02,0.05
2024-08,44.15,29.42,9.95,6.97,6.02,2.74,0.48,0.02,0.1,0.04,0.02,0.01,0.02,0.01,0.06
2024-09,44.12,30.41,9.22,7.01,5.96,2.7,0.26,0.01,0.17,0.04,0.01,0.01,0.01,0.01,0.04
2024-10,43.88,31.34,8.92,6.91,5.32,2.56,0.18,0.7,0.05,0.05,0.01,0.01,0.01,0.01,0.03
2024-11,43.52,31.39,8.91,7.05,5.83,2.92,0.18,0.02,0.06,0.06,0.01,0.01,0.01,0.01,0.03
2024-12,41.21,33.02,9.46,7.35,5.75,2.85,0.2,0.02,0.05,0.04,0.01,0.01,0.01,0.01,0.03
2025-01,43.32,32.59,9.13,6.79,5.2,2.55,0.24,0.02,0.04,0.02,0.01,0.01,0,0.01,0.05
2025-02,42.49,33.67,8.45,7.21,5.31,2.47,0.23,0.02,0.06,0.02,0.02,0.01,0,0,0.03
