Отметка времени,"Напишите, какой этап обучения воспринимается вашими незрячими учениками как особенно сложный?",Какие программы или интерфейсы вашим ученикам труднее освоить?,Нужен ли специальный сайт с пояснениями для изучения веб-интерфейса:,Что удобнее для ваших учеников: веб-интерфейс или интерфейс обычных программ?,Что именно в веб-интерфейсе вызывает затруднение у учеников (если вызывает)?,"Отметьте, пожалуйста, с какими учениками вы в основном работаете (кроме проблем со зрением):"
26.03.2025 14:20:49,"Зависит от ученика. Если это человек с инвалидностью по зрению, который раньше не имел дела с компьютером, то самое трудное - это начало обучения, например,  формирование у него / нее необходимых понятий.
У некоторых бывают сложности с освоением настроек компьютера и скринридера, ку других сложности с понимание структуры веб-страниц и способов навигации по ним.","Браузеры, почтовые клиенты, Excel.","Суперполезная штука, давно нужно (5/5).",Обычный десктопный интерфейс удобнее.,"Первоначально понимание разделения структуры на элементы. 
У многих с трудом вырабатываются гибкие паттерны навигации.
У большинства возникают трудности с заполнением веб-форм, особенно условно доступных.","Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)., Люди с дополнительными когнитивными сложностями."
26.03.2025 17:41:13,"Электронная почта, Pop, Imap и т.д.","The Bat, Excel","Хорошая идея, точно пригодится (4/5).",Обычный десктопный интерфейс удобнее.,"Запоминание горячих клавиш и автоматические-полуавтоматические поля форм, недоступность некоторых элементов","Дети (до 18(., Молодые люди (18-35 лет)., Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)., Люди с ослабленным или отсутствующим слухом., Люди с дополнительными когнитивными сложностями."
26.03.2025 19:03:43,Набор текста на клавиатуре,"Gboard, голосовой ввод текста","Хорошая идея, точно пригодится (4/5).",Веб-интерфейс удобнее.,Навигация,"Дети (до 18(., Молодые люди (18-35 лет)., Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)."
26.03.2025 19:09:39,"навигация по тексту, по элементам веб-страниц,. навигация при помощи просмотровых курсоров. ",,"Суперполезная штука, давно нужно (5/5).",Нет вообще никакой разницы.,,Люди среднего возраста (35-65 лет).
27.03.2025 9:43:24,Работа с изменяющимся интерфейсом. ,"Те, в которых много управляющих элементов не разбитых на группы","Хорошая идея, точно пригодится (4/5).",Веб-интерфейс удобнее.,"Понятие кнопки и ссылки, выпадающие и комбинированные списки.",
28.03.2025 10:33:16,Работа в интернете. Перемещение по сайтам.,"""Проводник"", ""Word"". ","Да, может быть полезным (3/5).",Нет вообще никакой разницы.,"Отсутствие стандартного алгоритма перемещения по сайтам, поскольку отличается разметка. Например, на сайтах могут полностью отсутствовать заголовки. Неподписанные и некликабельные элементы. Сложная и перенасыщенная структура. ","Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)., Люди с дополнительными когнитивными сложностями."
29.03.2025 16:24:41,"Веб-сайты и всё, что с ними связано. Блочный дизайн, разные типы вёрстки, это настоящая боль, особенно для начинающих учеников","Все программы, интерфейс которых сделал в виде веб-страниц.","Да, может быть полезным (3/5).",Обычный десктопный интерфейс удобнее.,"Блочная вёрстка, переключения из режима обзора в режим редактирования, необходимость запоминать много команд.","Молодые люди (18-35 лет)., Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)., Люди с ослабленным или отсутствующим слухом."
31.03.2025 3:11:14,,,"Суперполезная штука, давно нужно (5/5).",Обычный десктопный интерфейс удобнее.,,"Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)."
31.03.2025 4:40:04,В теме Интернет представления об интерфейсе интернет-страниц. ,В программе Word интерфейс виртуальной ленты,"Суперполезная штука, давно нужно (5/5).",Обычный десктопный интерфейс удобнее.,поиск нужной информации,"Молодые люди (18-35 лет)., Люди среднего возраста (35-65 лет)., Пожилые (65+ лет)., Люди с ослабленным или отсутствующим слухом., Люди с дополнительными когнитивными сложностями."
31.03.2025 8:14:40,перемещение по элементам,"выпадающие списки, выбор даты","Суперполезная штука, давно нужно (5/5).",Обычный десктопный интерфейс удобнее.,Постоянно путаются с обозначениями,"Молодые люди (18-35 лет)., Люди среднего возраста (35-65 лет)."
